WORD,DEF
abasourdi,stunned
accablé,overwhelmed
agacée,annoyed
ahuri,bewildered
apostrophe,rude remark
arranger,arrange
assouvir,satisfy
bande,bandaged
bander,bend
bique,goat
bitume,asphalt
bouclier,shield
bougonne,grumpy
bourru,gruff
bredouilles,mumble
brut,raw
bâillonner,gag
carrelage,floor tile
cernes,surrounded
chambranle,jamb
charrier,spoof
comptes,accounts
convoite,covets
crapuleux,villainous
culotte,pantalon
demeure,residence
dépitée,disappointed
enceinte,pregnant
embrouille,tangled
enchères,auction
enchères,auction
enchères,auction
enfoiré,Motherfucker
escarpins,pumps
esclandre,fracas
estrade,platform
fardeau,burden
flingue,gun
foulard,scarf
foutue,damn
frémir,quiver
fulmine,fumes
gisant,lying
grimper,to climb up
grisée,intoxicated
gré,willing
hâlée,tanned
jaser,chat
jauge,gauge
larbin,minion
loupé,to mess up
marmite,cooking pot
maudissant,cursing
moutons,sheep
nargue,taunts
nuisette,night-shirt
pailletées,sequined
pantelante,panting
pognon,money
pommette,cheekbone
popote,meals
rauque,hoarse
recoudre,sew up
repérer,spot
retordre,twist
ride,wrinkled
saoul,drunk
exécutent,execute
taquin,teasing
tout à l'heure,see you later
trainée,trail
tressaille,flinches
tricoter,knit
trébuchant,stumbling
ausculter,examine
veille,day before
veuille,please
victuailles,food
éconduite,spurned
écorchures,abrasions
éhonté,shameless
émerveillent,marvel
épilogue,epilogue
