WORD,DEF
a,"[a] nm : a, the first letter of the alphabet"
à,"[a] prep 1 : to <je vais à Montréal : I am going to Montreal> <as-tu téléphoné à ton père? : did you call your dad?> <il a donné la clé à son frère : he gave the key to his brother> 2 : at <à deux heures : at two o'clock> <nous sommes à l'aéroport : we are at the airport> 3 : on <à pied : on foot, by foot> <à temps : on time> 4 : with <la fille aux cheveux blonds : the girl with blond hair> 5 with infinitive : to <ils ont appris à lire : they learned how to read> <problèmes à résoudre : problems to be solved> 6 : from <voler aux riches : to steal from the rich> 7 : per <60 kilomètres à l'heure : 60 kilometers per hour> 8 : in, according to <à leur avis : in their opinion>"
abaissement,"[abεsmᾶ] nm 1 : lowering 2 ▶ diminution : reduction, drop, fall 3 : abasement, humbling"
abaisser,"[abese] vt 1 ▶ baisser : to lower 2 ▶ diminuer : to reduce 3 : to humble, to abase s'abaisser vr 1 : to go down, to slope (down) 2 : to demean oneself, to grovel 3 ~ à : to stoop to"
abandon,"[abᾶdɔ̃] nm 1 : state of neglect 2 : desertion, abandonment 3 : abandon, freedom 4 : surrender, renunciation 5 : withdrawal, retirement (in sports) 6 laisser à l'abandon : to neglect, to abandon"
abandonner,"[abᾶdɔne] vt 1 : to abandon 2 : to surrender, to renounce vi : to give up s'abandonner vr 1 : to let oneself go, to neglect oneself 2 ~ à : to give oneself up to (pleasures, etc.)"
abaque,[abak] nm : abacus
abasourdir,[abazurdir] vt 1 : to stun 2 : to deafen
abâtardir,"[abatardir] vt : to debase, to degrade s'abâtardir vr : to degenerate, to deteriorate"
abat-jour,[abaʒur] nm : lampshade
abats,"[aba] nmpl 1 : entrails, offal 2 abats de volaille : giblets"
abattage,[abataʒ] nm 1 : felling (of trees) 2 : slaughtering (of animals) 3 : extraction (of metals) 4 avoir de l'abattage : to be full of vim and vigor
abattant,"[abatᾶ] nm : flap, leaf (of furniture)"
abattement,"[abatmᾶ] nm 1 : reduction, allowance <abattement à la base : income-tax deduction> 2 : despondency, sadness 3 : weakness, exhaustion"
abattis,[abati] nmpl : giblets
abattoir,"[abatwar] nm : abattoir, slaughterhouse"
abattre,"[abatr] vt {CONJUGATION 12} 1 : to knock down, to cut down, to bring down 2 ▶ épuiser : to wear out, to exhaust 3 ▶ démoraliser : to demoralize <ne te laisse pas abattre : don't let things get you down> 4 : to slaughter, to kill 5 abattre ses cartesor abattre son jeu : to lay one's cards on the table s'abattre vr 1 : to come down, to fall, to crash 2 ~ sur : to pounce on, to descend on"
"abattu, -tue","[abaty] adj : despondent, downcast, dejected"
abbaye,[abei] nf : abbey
abbé,[abe] nm 1 : abbot 2 ▶ prêtre : priest
abbesse,[abεs] nf : abbess
abcès,[apsε] nm : abscess
abdication,"[abdikasjɔ̃] nf : abdication, renunciation"
abdiquer,"[abdike] vt 1 : to abdicate 2 : to renounce vi 1 : to abdicate 2 : to surrender, to give up"
abdomen,[abdɔmεn] nm : abdomen
"abdominal, -nale","[abdɔminal] adj, mpl -naux [-no] : abdominal abdominaux nmpl les abdominaux : stomach muscles, abs"
abécédaire,"[abesedεr] nm : speller, primer"
abeille,"[abεj] nf 1 : bee, honeybee 2 abeille mâle : drone"
"aberrant, -rante","[abεrᾶ, -rᾶt] adj 1 : aberrant, abnormal 2 : absurd"
aberration,[abεrasjɔ̃] nf : aberration
abêtir,[abetir] vt : to make stupid vi : to become stupid s'abêtir vr
abhorrer,"[abɔre] vt : to abhor, to abominate"
abîme,"[abim] nm 1 : abyss, gulf 2 au bord de l'abîme : on the brink of ruin 3 au fond de l'abîme : in the depths of despair"
abîmer,"[abime] vt ▶ détériorer : to damage, to spoil s'abîmer vr 1 : to spoil, to become damaged 2 : to sink, to founder <s'abîmer dans la réflexion : to be lost in thought>"
"abject, -jecte","[abʒεkt] adj 1 : despicable, contemptible 2 : abject"
abjectement,[-ʒεktəmᾶ] adv
abjurer,"[abʒyre] vt : to abjure, to renounce"
ablation,"[ablasjɔ̃] nf : removal, excision (in medicine)"
ablution,[ablysjɔ̃] nf : ablution
abnégation,"[abnegasjɔ̃] nf : selflessness, self-denial"
aboie,[abwa] aboiera [abwara] etc. ▶ aboyer
aboiement,"[abwamᾶ] nm : barking, baying"
abois,"[abwa] nmpl être aux abois : to be at bay, to be desperate"
abolir,[abɔlir] vt : to abolish
abolition,[abɔlisjɔ̃] nf : abolition
abominable,[abɔminabl] adj : abominable
abominablement,[-nabləmᾶ] adv
abomination,[abɔminasjɔ̃] nf : abomination
abominer,"[abɔmine] vt : to abominate, to loathe"
abondamment,[abɔ̃damᾶ] adv : abundantly
abondance,"[abɔ̃dᾶs] nf 1 : abundance 2 en ~ : in plenty, galore"
"abondant, -dante","[abɔ̃dᾶ, -dᾶt] adj : abundant"
abonder,"[abɔ̃de] vi 1 : to abound, to be plentiful <abonder en bonheur : to be full of happiness> 2 abonder dans le sens de : to agree wholeheartedly with"
"abonné, -née",[abɔne] n : subscriber
abonnement,[abɔnmᾶ] nm : subscription
abonner,[abɔne] vt : to take out a subscription for s'abonner vr : to subscribe
abord,"[abɔr] nm 1 ▶ accès : access, approach 2 : manner <il est d'un abord facile : he's very approachable> 3 abords nmpl : surroundings 4 d' ~ : at first, firstly 5 de prime abord or au premier abord : at first glance"
abordable,[abɔrdabl] adj 1 ▶ accessible : accessible 2 : affordable 3 : approachable
abordage,[abɔrdaʒ] nm 1 : boarding (of a ship) 2 : collision
aborder,"[abɔrde] vt 1 : to approach 2 : to tackle, to deal with 3 : to board (an enemy ship) vi : to land, to berth <aborder à port : to reach port>"
aborigène 1,"[abɔriʒεn] adj : aboriginal, indigenous aborigène 2 nmf : aborigine, native"
"abortif, -tive","[abɔrtif, -tiv] adj : abortive"
aboucher,[abu∫e] vt : to join (things) end to end s'aboucher vr : to get in touch
aboutir,"[abutir] vi 1 ▶ réussir : to succeed 2 ~ àor ~ dans : to result in, to end up in"
aboutissants,[abutisᾶ] nmpl ▶ tenant
aboutissement,"[abutismᾶ] nm : outcome, result"
aboyer,"[abwaje] vi {CONJUGATION 58} : to bark, to bay vt : to bark (out), to shout (an order, etc.)"
"aboyeur, -yeuse","[abwajœr, -jøz] adj : barking"
abraser,[abraze] vt : to abrade
"abrasif 1, -sive","[abrazif, -ziv] adj : abrasive abrasif 2 nm : abrasive"
abrasion,[abrazjɔ̃] nf : abrasion
abrégé,"[abreʒe] nm : summary, abstract, abridgment <en abrégé : in summary, in brief>"
abrègement,"[abrεʒmᾶ] nm : summarizing, abridgment"
abréger,"[abreʒe] vt {CONJUGATION 64} : to shorten, to abridge, to abbreviate"
abreuver,"[abrœve] vt 1 : to water (an animal) 2 : to soak, to irrigate 3 ▶ accabler : to shower, to heap <abreuver qqn de : to overwhelm s.o. with> s'abreuver vr : to drink"
abreuvoir,"[abrœvwar] nm : watering place (in a river, etc.), drinking trough"
abréviation,[abrevjasjɔ̃] nf : abbreviation
abri,"[abri] nm 1 : shelter, shed <à l'abri : under cover> 2 les sans abri : the homeless"
abricot,[abriko] nm : apricot
abrier,"[abrije] vt, Can {CONJUGATION 96} : to cover (with a blanket, etc.)"
abriter,"[abrite] vt 1 : to shelter, to protect 2 ▶ héberger : to house, to accommodate"
abrogation,"[abrɔgasjɔ̃] nf : repeal, abrogation"
abroger,"[abrɔʒe] vt {CONJUGATION 17} : to abrogate, to repeal, to annul"
"abrupt, -brupte","[abrypt] adj 1 ▶ escarpé : sheer, steep 2 ▶ brusque : abrupt"
"abruti, -tie","[abryti] n, fam : fool, idiot"
abrutir,"[abrytir] vt 1 ▶ étourdir : to daze, to stupefy 2 : to wear out,to exhaust 3 ▶ abêtir : to make stupid"
"abrutissant, -sante","[abrytisᾶ, -sãt] adj : exhausting, numbing, stupefying"
absence,[apsᾶs] nf : absence
"absent 1, -sente","[apsᾶ, -sᾶt] adj : absent absent 2, -sente n : absentee"
absentéisme,[apsãteism] nm : absenteeism
absenter,"[apsᾶte] v s'absenter vr : to leave, to stay away"
absinthe,[apsɛ̃t] nf 1 : absinthe 2 : wormwood
"absolu 1, -lue",[apsɔly] adj : absolute
absolument,[-lymᾶ] adv absolu 2 nm : absolute
absolution,[apsɔlysjɔ̃] nf : absolution
"absorbant, -bante","[apsɔrbᾶ, -bᾶt] adj 1 : absorbent 2 : absorbing, engrossing"
absorber,"[apsɔrbe] vt 1 : to absorb, to engross 2 : to consume, to take up, to absorb s'absorber vr ~ dans : to become engrossed in"
absorption,[apsɔrpsjɔ̃] nf : absorption
absoudre,[apsudr] vt {CONJUGATION 1} : to absolve
abstenir,[apstənir] v {CONJUGATION 92} s'abstenir vr 1 : to abstain 2 s'abstenir de faire : to refrain from doing
abstention,[apstᾶsjɔ̃] nf : abstention
abstinence,[apstinãs] nf : abstinence
abstraction,"[apstraksjɔ̃] nf 1 : abstraction 2 faire abstraction de : to disregard, to set aside"
abstraire,[apstrεr] vt {CONJUGATION 40} : to abstract s'abstraire vr : to isolate oneself
"abstrait 1, -traite","[apstrε, -trεt] adj : abstract"
abstraitement,[-trεtmᾶ] adv abstrait 2 nm : abstract <dans l'abstrait : in the abstract>
"abstrus, -struse","[apstry, -stryz] adj : abstruse"
absurde,[apsyrd] adj : absurd
absurdité,[apsyrdite] nf : absurdity
abus,"[aby] nm : abuse, misuse <abus de confiance : breach of trust>"
abuser,"[abyze] vt : to deceive, to mislead vi 1 ~ de : to misuse 2 ~ de : to take advantage of, to exploit s'abuser vr : to be mistaken"
abuseur,"[abyzœr] nm, Can : abuser"
"abusif, -sive","[abyzif, -ziv] adj 1 ▶ exagéré : excessive <parents abusifs : overprotective parents> 2 ▶ impropre : incorrect, improper"
abusivement,[-zivmᾶ] adv
"abyssal, -sale","[abisal] adj, mpl -saux [-so] : abyssal, unfathomable"
acabit,"[akabi] nm : sort, type <de tout acabit : of every kind>"
acacia,[akasja] nm : acacia
"académicien, -cienne","[akademisjɛ̃, -sjεn] n : academician"
académie,[akademi] nf 1 : academy 2 : school district 3 : learned society 4 : nude (in a work of art)
académique,[akademik] adj : academic
"acadien, -dienne","[akadjɛ̃, -djεn] adj 1 : Acadian 2 : Cajun Acadien, -dienne n 1 : Acadian 2 : Cajun"
acajou,[akaʒu] nm : mahogany
acariâtre,[akarjatr] adj : cantankerous
"accablant, -blante","[akablᾶ, -blᾶt] adj : overwhelming, oppressive"
accablement,"[akabləmᾶ] nm : despondency, dejection"
accabler,[akable] vt 1 ▶ écraser : to overwhelm 2 : to condemn
accalmie,"[akalmi] nf : lull, respite"
accaparement,"[akaparmᾶ] nm : monopolizing, hoarding"
accaparer,"[akapare] vt 1 ▶ monopoliser : to monopolize 2 : to buy up, to hoard"
accéder,"[aksede] vi {CONJUGATION 87} 1 : to gain access, to reach, to obtain 2 : to accede"
"accélérateur 1, -trice","[akseleratœr, -tris] adj : accelerating accélérateur 2 nm : accelerator"
accélération,[akselerasjɔ̃] nf : acceleration
accélérer,[akselere] v {CONJUGATION 87} : to accelerate s'accélérer vr
accent,"[aksᾶ] nm 1 : accent <un accent allemand : a German accent> 2 : stress, emphasis 3 : accent mark <accent aigu : acute accent> 4 ▶ nuance : hint, tone <un accent plaintif : a plaintive tone>"
accentuer,"[aksᾶtɥe] vt 1 : to mark with an accent 2 : to stress (a syllable) 3 : to emphasize, to highlight s'accentuer vr : to become more pronounced"
acceptabilité,[aksεptabilite] nf : acceptability
acceptable,"[aksεptabl] adj : acceptable, passable"
acceptation,[aksεptasjɔ̃] nf : acceptance
accepter,"[aksεpte] vt : to accept, to agree to"
acception,"[aksεpsjɔ̃] nf 1 : sense, meaning 2 sans acception de : regardless of"
accès,"[aksε] nm 1 : access 2 : entry, entrance <accès interdit : no entry> 3 ▶ crise : fit, attack <accès de fièvre : bout of fever> <accès d'excitation : fit of excitement>"
accessibilité,[aksεsibilite] nf : accessibility
accessible,[aksεsibl] adj 1 ▶ abordable : accessible 2 accessible au public : open to the public
accession,"[aksεsjɔ̃] nf ▶ avènement : accession, attainment"
accessoire 1,"[aksεswar] adj : accessory, incidental accessoire 2 nm 1 : accessory 2 accessoires nmpl : props"
accessoirement,"[aksεswarmᾶ] adv 1 : secondarily, incidentally 2 : if necessary, if need be"
accident,"[aksidᾶ] nm : accident <par accident : by accident, accidentally>"
"accidenté 1, -tée","[aksidãte] adj 1 ▶ blessé : injured 2 endommagé : damaged 3 ▶ inégal : uneven, broken <terrain accidenté : uneven ground> accidenté 2, -tée n : victim (of an accident), injured person"
"accidentel, -telle",[aksidᾶtεl] adj : accidental
accidentellement,[-tεlmᾶ] adv
accise,"[aksiz] nf, Bel Can : excise tax"
acclamation,"[aklamasjɔ̃] nf : acclamation, cheering"
acclamer,"[aklame] vt : to acclaim, to cheer"
acclimatation,[aklimatasjɔ̃] nf : acclimatization
acclimater,[aklimate] vt : to acclimatize s'acclimater vr
accolade,"[akɔlad] nf 1 : accolade 2 ▶ embrassade : embrace 3 : brace, bracket (in printing)"
accoler,[akɔle] vt 1 : to join side by side 2 : to bracket together (in printing)
"accommodant, -dante","[akɔmɔdᾶ, -dᾶt] adj : accommodating, flexible"
accommodation,"[akɔmɔdasjɔ̃] nf : accommodation, adaptation"
accommodement,"[akɔmɔdmᾶ] nm : arrangement, compromise, terms"
accommoder,"[akɔmɔde] vt : to accommodate, to adapt s'accommoder vr ~ de : to make do, to put up with"
"accompagnateur, -trice","[akɔ̃paɲatœr, -tris] n 1 : accompanist 2 guide : chaperone, guide"
accompagnement,[akɔ̃paɲmᾶ] nm : accompaniment
accompagner,[akɔ̃pαɲe] vt : to accompany
"accompli, -lie","[akɔ̃pli] adj 1 achevé : finished, accomplished 2 consommé : consummate, expert"
accomplir,"[akɔ̃plir] vt : to accomplish, to perform, to realize s'accomplir vr 1 : to take place 2 : to be fulfilled"
accomplissement,"[akɔ̃plismᾶ] nm : accomplishment, performance"
accord,"[akɔr] nm 1 : agreement, understanding <d'accord : in agreement, agreed> <en accord avec : in harmony with> 2 ▶ pacte : pact, agreement, accord (in politics, etc.) 3 : approval, consent 4 : chord (in music)"
accordéon,[akɔrdeɔ̃] nm : accordion
accorder,"[akɔrde] vt 1 : to make agree, to reconcile, to match 2 ▶ octroyer : to grant, to give 3 : to tune (a musical instrument) s'accorder vr : to be in agreement"
accordeur,[akɔrdœr] nm : tuner (of musical instruments)
accoster,"[akɔste] vt 1 ▶ aborder : to approach, to accost 2 : to come alongside vi : to dock, to land"
accotement,[akɔtmᾶ] nm : shoulder (of a road)
accoter,"[akɔte] vt : to lean, to rest s'accoter vr ~ à or ~ contre : to lean against"
accouchement,[aku∫mᾶ] nm : childbirth
accoucher,[aku∫e] vt : to deliver (a child) vi 1 : to be in labor 2 ~ de : to give birth to
"accoucheur, -cheuse","[aku∫œr, -∫øz] n : obstetrician accoucheuse nf ▶ sage-femme : midwife"
accouder,[akude] v s'accouder vr 1 : to lean on one's elbows 2 ~ àor ~ sur : to lean (one's elbows) on
accoudoir,[akudwar] nm : armrest
accouplement,[akupləmᾶ] nm 1 : coupling 2 : mating
accoupler,"[akuple] vt 1 : to couple, to link 2 : to mate (of animals) 3 : to yoke (draft animals) s'accoupler vr : to mate"
accourir,"[akurir] vi {CONJUGATION 23} : to come running, to run up"
accoutrement,"[akutrəmᾶ] nm : outfit, getup"
